등록번호,사무소명,중개업자명,사무소전화번호,사무소주소,행정동
가-06-1315,한성부동산중개사무소,이향화,051-553-3300,부산광역시 동래구 충렬대로 318 A상가 102호(낙민동),수민동
가-06-1601,삼성부동산중개사무소,김희도,051-504-7757,부산광역시 동래구 여고로113번길 26 (사직동),사직제3동
가-06-1875,한주부동산중개사무소,김평남,051-529-3232,부산광역시 동래구 안락로 9 (안락동),안락제1동
가-06-1892,럭키3.1부동산중개사무소,정정숙,051-552-3131,"부산광역시 동래구 충렬대로107번길 54 상가동 1-1호(온천동,럭키아파트)",온천제2동
나-06-652,제일부동산중개사무소,손덕수,051-552-9001,부산광역시 동래구 차밭골로 9 102호(온천동),온천제1동
나-06-343,제일부동산중개사무소,송욱명,051-525-6812,부산광역시 동래구 반송로 287-8 (명장동),명장제2동
나-06-292,한라부동산중개사무소,장이수,051-521-0005,부산광역시 동래구 명안로 4 (안락동),안락제2동
가-06-4180,의령부동산중개사무소,김정애,051-502-4444,부산광역시 동래구 사직북로48번길 12 (사직동),사직제1동
가-06-2961,제일공인중개사사무소(합동),김태영,051-502-3377,"부산광역시 동래구 사직로 80 상가223동 B106호(사직동,사직쌍용예가)",사직제2동
가-06-2980,롯데공인중개사사무소,이경애,051-556-0245,"부산광역시 동래구 금강로 28 삼익상가 1-3호(온천동,온천삼익아파트)",온천제2동
가-06-3006,현대공인중개사사무소,고봉희,051-532-1140,부산광역시 동래구 삼어로 3-2 (안락동),안락제2동
가-06-3007,세화공인중개사사무소,윤영숙,051-558-5225,부산광역시 동래구 충렬대로202번길 9 (수안동),수민동
가-06-3019,대지공인중개사사무소,김옥준,051-556-5338,부산광역시 동래구 온천장로 104 (온천동),온천제1동
가-06-3028,e봄봄부동산중개사무소,박선우,051-521-0001,"부산광역시 동래구 명장로 65 상가1동 103호 (명장동, e편한세상 동래명장)",명장제1동
가-06-3049,사직하늘채리센티아매일부동산공인중개사사무소,진옥란,051-501-0552,부산광역시 동래구 아시아드대로195번길 59 1층(사직동),사직제1동
가-06-1578,석산공인중개사사무소,김태선,,부산광역시 동래구 우장춘로4번길 9 3층(온천동),온천제2동
가-06-3104,영남공인중개사사무소,이영옥,051-521-1032,부산광역시 동래구 충렬대로 391-1 1층(안락동),안락제1동
가-05-2139,팔팔공인중개사사무소,김광수,051-507-0404,부산광역시 동래구 아시아드대로 187 (사직동),사직제1동
가-06-3176,럭키공인중개사사무소,허정수,051-506-9696,"부산광역시 동래구 사직로 80 상가223동 B109호(사직동,사직쌍용예가)",사직제2동
가-06-3183,신현대공인중개사사무소,주수영,051-553-3450,부산광역시 동래구 석사북로 100 (온천동),온천제3동
가-06-3204,평화부동산공인중개사사무소,김귀덕,051-555-0937,부산광역시 동래구 금강로 68-1 1층(온천동),온천제1동
가-11-712,선재공인중개사사무소,신영수,051-553-8858,부산광역시 동래구 금강로 57-2 (온천동),온천제1동
가-06-3243,삼영공인중개사사무소,김삼녀,051-506-5311,"부산광역시 동래구 쇠미로129번길 86 A상가 103호(온천동,현대아파트)",온천제3동
가-06-3265,석탑공인중개사사무소,이동원,051-554-0780,부산광역시 동래구 동래로159번길 10-3 (복천동),복산동
가-06-3269,동양공인중개사사무소,박해민,051-554-5359,부산광역시 동래구 충렬대로137번길 27 (온천동),온천제2동
가-06-3289,안락부동산공인중개사사무소,김동녀,051-526-5122,부산광역시 동래구 명안로25번길 88 (안락동),안락제1동
가-06-3292,동원합동부동산중개사무소,홍찬억,051-526-8111,부산광역시 동래구 안연로 64 (안락동),안락제1동
가-06-3295,만세공인중개사사무소,강혜경,051-522-3777,"부산광역시 동래구 연안로 71 상가동 101호(안락동,안락뜨란채1단지아파트)",안락제2동
가-06-4284,벽산공인중개사사무소,신일국,051-557-0016,부산광역시 동래구 금강공원로 11 101호(온천동),온천제1동
가-06-3741,중앙부동산공인중개사사무소,이상제,051-529-0049,부산광역시 동래구 안남로 23 108호(낙민동),수민동
가-06-3321,동방부동산중개사무소,신미화,051-526-9980,"부산광역시 동래구 연안로 74 주상가동 108호(안락동,안락뜨란채2단지아파트)",안락제2동
가-06-3361,SK부동산중개사무소,박지학,051-557-3030,부산광역시 동래구 중앙대로1381번길 49 광명빌딩 1층(온천동),온천제2동
가-06-3363,대영공인중개사사무소,이영순,051-552-4994,부산광역시 동래구 동래로176번길 3 (칠산동),복산동
가-06-3370,삼정공인중개사사무소,고경숙,051-501-0093,"부산광역시 동래구 쇠미로 37 상가동 109호·113호 (사직동,삼정그린코아)",사직제2동
가-06-3381,성우공인중개사사무소,이영주,051-553-5524,부산광역시 동래구 복천로5번길 14 우성상가나동 102호(복천동),복산동
가-06-3394,성심공인중개사사무소,김경미,051-507-7388,부산광역시 동래구 아시아드대로 161 (사직동),사직제1동
가-06-3456,동래뷰부동산중개사무소,허숙향,051-558-8118,부산광역시 동래구 중앙대로1381번길 58 (온천동),온천제2동
가-06-3458,강변뜨란채부동산공인중개사사무소,송미영,051-528-3800,"부산광역시 동래구 안남로 79 분산상가동 104호(안락동,강변뜨란채)",안락제1동
가-06-3487,황소힐스테이트공인중개사사무소,이용수,051-506-1100,부산광역시 동래구 쇠미로 85-2 1층(사직동),사직제2동
가-06-3494,미래공인중개사사무소,김영희,051-558-5779,부산광역시 동래구 충렬대로218번길 51 (수안동),수민동
가-06-3554,만세공인중개사사무소,조선애,051-503-0090,부산광역시 동래구 사직로70번길 36 (사직동),사직제2동
가-06-3593,중앙공인중개사사무소,김유신,051-504-6777,부산광역시 동래구 사직북로 38 (사직동),사직제1동
가-06-3606,시티공인중개사사무소,권재홍,051-504-4959,부산광역시 동래구 사직북로63번길 7 (사직동),사직제2동
가-06-3640,협성부동산중개사무소,김은진,051-558-8242,"부산광역시 동래구 중앙대로1473번길 14-12 101호(온천동,협성스카이라인80)",온천제1동
가-06-3643,그랜드공인중개사사무소,장나경,051-504-0117,부산광역시 동래구 아시아드대로 251 (온천동),온천제3동
가-06-3646,부림공인중개사사무소,문유근,051-553-8949,부산광역시 동래구 명륜로 76 (수안동),수민동
