부동산개발업등록번호,상호,주사무소 소재지,우편번호,전화번호
부산070001,에이치랜드 주식회사,"부산광역시 서구 보수대로 105-1, (부용동1가)",49223,051-253-6020
부산070005,주식회사 삼미건설,"부산광역시 해운대구 동백로 23, 302호(우동, 현대아쿠아팰리스동백섬)",48093,051-635-4331
부산080007,주식회사 온라이프건설,"부산광역시 부산진구 가야대로 767, 11층(부전동, 정근안과병원빌딩)",47257,051-583-0360
부산080009,남아건설 주식회사,"부산광역시 부산진구 범일로 134, 6층 605호(범천동, 중앙빌딩)",47365,051-462-8176
부산080013,삼한주택,"부산광역시 남구 자성로 152, , 1111호(문현동, 한일오피스텔)",48475,051-633-1307
부산080015,주식회사 에이치제이중공업,"부산광역시 영도구 태종로 233, (봉래동5가)",49001,02-450-8114
부산080017,주식회사 고성관광개발,"부산광역시 남구 자성로 152, , 810호(문현동, 한일오피스텔)",48475,051-634-2864
부산080021,하모니건설 주식회사,"부산광역시 수영구 수영로 668, , 301호(광안동, 화목오피스텔)",48267,051-758-2220
부산080027,에스제이건설 주식회사,"부산광역시 금정구 금강로 465, (202호)",46242,051-582-8190
부산080031,남흥건설 주식회사,"부산광역시 부산진구 중앙대로702번길 43, (부전동)",47292,051-818-1870
부산080044,예광종합건설 주식회사,"부산광역시 남구 유엔평화로 35-1, (대연동, 4층)",48505,051-627-4266
부산080047,주식회사 상우토건,"부산광역시 북구 시랑로21번길 133, (구포동)",46592,051-332-5556
부산080061,주식회사 대성건설,"부산광역시 강서구 대저로 292, (대저1동)",46702,051-972-6001
부산080074,지우종합건설 주식회사,"부산광역시 금정구 동현로 67, , 305호(부곡동, 뉴그린빌딩)",46304,051-556-2421
부산090001,흥우건설 주식회사,"부산광역시 중구 중앙대로 96, , 14층(중앙동4가, 흥우빌딩)",48939,051-462-0161
부산090007,강진종합건설 주식회사,"부산광역시 남구 전포대로 90, (문현동)강진융프라우 2차 4층 404호",48411,051-634-4900~1
부산090008,대성문디앤지 주식회사,"부산광역시 영도구 봉래나루로 82, 104호(봉래동 1가, 라발스 호텔 부산)",49033,051-850-2112
